Wall time,Step,Value
1511771165.2002895,10523,5.0
1511771444.2772498,10606,20.0
1511772028.0976286,10784,7.0
1511772443.677914,10906,10.0
1511772647.5021436,10965,13.0
1511772844.033801,11021,5.0
1511774183.8423948,11534,12.0
1511774291.3438668,11567,12.0
1511774706.251415,11686,19.0
1511775665.8713405,11974,14.0
1511775670.6442387,11975,17.0
1511776305.1618938,12165,8.0
1511776737.4581265,12290,11.0
1511778670.0988274,12877,20.0
1511779201.3957129,13035,21.0
1511779301.6739116,13062,14.0
1511781063.0668705,13598,22.0
1511781130.5727637,13621,21.0
1511781757.684212,13812,22.0
1511783381.5366266,14297,22.0
1511802895.230173,14127,22.0
1511803263.1353862,14239,23.0
1511803575.7185023,14330,30.0
1511805666.0358162,14931,13.0
1511806647.0213273,15222,18.0
1511807829.5643282,15577,23.0
1511808543.292073,15781,14.0
1511810364.6048872,16316,21.0
1511811044.0983171,16526,23.0
1511811145.7758076,16555,20.0
1511811888.4793446,16775,23.0
1511811968.9042873,16797,20.0
1511812650.6393325,17001,24.0
1511812679.1756809,17014,19.0
1511815528.9250655,17910,24.0
1511817734.119472,18574,23.0
1511817910.1067078,18627,19.0
1511819093.221453,18990,32.0
1511819458.2947605,19098,22.0
1511819755.2873576,19189,23.0
1511820637.3172078,19453,31.0
1511820814.4945934,19511,24.0
1511820841.1122491,19520,22.0
1511821428.3642974,19702,22.0
1511821449.04467,19709,23.0
1511821673.175135,19781,23.0
1511822047.2404013,19898,19.0
1511822366.7196302,19996,17.0
1511822492.595842,20036,24.0
1511823138.9832454,20237,21.0
1511823148.246995,20240,23.0
1511823386.1543105,20313,22.0
1511824117.9180248,20539,23.0
1511824328.6183012,20605,3.0
1511824617.0124013,20691,17.0
1511824879.1546686,20781,11.0
1511826539.3665004,21306,22.0
1511827829.4712083,21703,22.0
1511828104.836643,21789,24.0
1511828198.1086638,21816,21.0
1511830721.0234604,22595,16.0
1511830763.1025438,22606,21.0
1511830897.8515217,22650,24.0
1511831205.9087508,22744,36.0
1511831438.5951817,22818,24.0
1511831644.7795968,22884,23.0
1511832000.1573746,22995,21.0
1511832409.7334552,23128,23.0
1511832436.9366827,23139,23.0
1511832508.8522897,23159,23.0
1511833931.7982614,23605,26.0
