Wall time,Step,Value
1512386300.841618,10841,18.0
1512386327.443943,10850,20.0
1512386532.7022023,10899,20.0
1512386535.993835,10906,20.0
1512386686.685707,10942,21.0
1512386789.1162045,10967,20.0
1512386822.3159945,10975,20.0
1512386999.703876,11021,22.0
1512387339.3638966,11103,20.0
1512387405.6810694,11121,21.0
1512387740.9938817,11199,21.0
1512387986.760791,11261,21.0
1512388656.0708866,11419,19.0
1512388899.1812072,11473,8.0
1512388965.0882788,11493,19.0
1512389097.2466931,11525,19.0
1512389130.5179718,11534,22.0
1512389283.4537845,11567,21.0
1512389600.2989938,11649,20.0
1512389757.395849,11686,21.0
1512390051.0784016,11761,6.0
1512390501.0952551,11872,21.0
1512390922.920955,11971,19.0
1512390925.1299512,11973,21.0
1512391087.7880297,12011,21.0
1512391197.8204691,12042,20.0
1512391608.2323964,12139,19.0
1512391719.093738,12165,21.0
1512391796.6752293,12185,20.0
1512392221.8244576,12290,21.0
1512392716.2025476,12406,20.0
1512392926.3942823,12458,22.0
1512393798.1479707,12673,22.0
1512394602.3424778,12874,21.0
1512394862.978641,12939,21.0
1512395183.6652625,13014,21.0
1512395262.465791,13035,18.0
1512395368.1077378,13064,14.0
1512395453.2848082,13083,19.0
1512395503.9726236,13094,23.0
1512395558.6925416,13109,22.0
1512396083.9691582,13239,21.0
1512396732.284937,13404,21.0
1512396757.4940834,13407,21.0
1512397163.8289988,13506,19.0
1512397321.432061,13550,23.0
1512397506.9904962,13598,20.0
1512397615.23288,13621,22.0
1512397833.700587,13680,22.0
1512398375.0935042,13811,19.0
1512398681.029411,13883,23.0
1512399496.8512096,14081,21.0
1512400077.5076392,14222,20.0
1512400342.8243694,14287,17.0
1512400378.2450938,14295,21.0
1512400478.7272694,14322,22.0
1512400560.5307734,14339,19.0
1512400797.6525004,14398,19.0
1512401000.740367,14449,21.0
1512401758.273291,14633,21.0
1512401760.8617485,14641,24.0
1512401899.3410985,14667,19.0
1512401940.6082156,14678,21.0
1512401968.0761075,14688,20.0
1512402362.9591773,14782,20.0
1512402390.1687067,14788,19.0
1512402469.8316417,14813,8.0
1512402726.19113,14873,20.0
1512402808.8187904,14893,19.0
1512403634.004492,15091,20.0
1512403991.6431882,15181,15.0
1512404331.6123848,15266,18.0
1512404550.5489628,15325,22.0
1512405155.0606613,15474,21.0
1512405164.9510431,15476,21.0
1512405297.609719,15508,18.0
1512405421.471816,15539,21.0
1512406239.9277778,15739,21.0
1512406343.8331342,15765,20.0
1512406373.8911445,15774,20.0
1512406609.6897295,15828,19.0
1512407296.4288971,15994,20.0
1512407713.4561486,16098,22.0
1512407795.986825,16117,22.0
1512408332.747358,16251,24.0
1512408646.7553089,16322,19.0
1512408747.202538,16344,21.0
1512408808.0288446,16361,23.0
1512408974.701464,16408,11.0
1512409379.8327456,16506,21.0
1512410159.7140653,16698,20.0
1512410611.879381,16809,9.0
1512410616.154808,16811,13.0
1512410816.4547396,16858,18.0
1512410991.5984633,16900,23.0
1512411651.5767455,17067,16.0
1512411771.4029913,17098,18.0
1512411916.4466028,17132,23.0
1512412378.6489646,17240,21.0
1512412501.3293362,17274,19.0
1512412595.460828,17298,14.0
1512412692.6907501,17317,22.0
1512412694.1837401,17319,22.0
1512412788.5527463,17340,22.0
1512413041.4484751,17407,20.0
1512413200.069864,17444,22.0
1512413222.9559011,17455,16.0
1512413598.5994966,17546,19.0
1512413646.425731,17556,22.0
1512413759.4311426,17587,20.0
1512413799.1546972,17595,19.0
1512413930.7423346,17624,21.0
1512414328.722786,17723,20.0
1512415243.6412473,17954,19.0
1512415349.2941544,17982,21.0
1512415511.0511074,18019,21.0
1512415644.655532,18054,22.0
1512415693.9563367,18069,8.0
1512415964.2253335,18129,22.0
1512416524.2544188,18265,19.0
1512416728.0321722,18318,22.0
1512417249.2359731,18451,22.0
1512417255.6394935,18453,9.0
1512417820.4059455,18593,21.0
1512418308.8029888,18717,22.0
1512418349.9457104,18729,10.0
1512418854.3421376,18845,20.0
1512419292.4916415,18960,13.0
1512419485.797055,19007,15.0
1512419663.6695936,19050,22.0
1512419952.817727,19118,20.0
1512420152.1224945,19171,21.0
1512420563.2458637,19273,14.0
1512421593.4101691,19526,17.0
1512421606.1400716,19532,17.0
1512422034.4757285,19641,21.0
1512422084.2094064,19654,21.0
1512422394.3820744,19731,21.0
1512422411.1833446,19738,20.0
1512422759.459651,19824,22.0
1512422857.3098989,19848,20.0
1512423139.8711689,19922,17.0
1512423220.4837787,19938,19.0
1512423363.3494573,19972,21.0
1512423457.034787,19992,20.0
1512423629.4705045,20036,19.0
1512423693.4824784,20053,20.0
1512423707.1004415,20060,17.0
1512423728.19742,20061,20.0
1512424032.665304,20138,18.0
1512424032.6679537,20139,20.0
1512424221.594704,20187,20.0
1512424345.1582577,20217,21.0
1512424442.256839,20245,19.0
1512424450.8335943,20249,20.0
1512424483.2586648,20253,18.0
1512424775.986635,20324,22.0
1512425019.7722404,20384,21.0
1512425263.598818,20441,20.0
1512425433.9171958,20484,23.0
1512425602.8870695,20526,23.0
1512425651.7120245,20539,20.0
1512425673.9813454,20541,22.0
1512425768.9169755,20563,21.0
1512425819.303311,20579,22.0
1512426365.5279431,20711,19.0
1512426664.465946,20780,20.0
1512426665.0690074,20782,20.0
1512426665.1064975,20781,21.0
1512426871.027183,20832,21.0
1512426961.8956337,20857,16.0
1512427511.9688532,20996,16.0
1512427890.841951,21082,20.0
1512428133.720005,21145,23.0
1512428380.4031763,21208,21.0
1512428482.4171045,21233,21.0
1512428843.6177258,21316,22.0
1512428857.7057042,21320,21.0
1512428867.8724988,21325,15.0
1512429141.55513,21393,20.0
